text,label
im feeling so pressured right now,stress
i cant cope with the stress,stress
this workload is killing me,stress
my mind is running at a million miles per hour with worry,stress
i have too many responsibilities,stress
i feel like im going to drop from exhaustion,stress
there is too much noise and pressure around me,stress
i cant take this tension anymore,stress
im drowning in deadlines,stress
i have too many exams and projects to handle,stress
i feel like breaking down under pressure,stress
i cant manage this load,stress
my body feels completely tight from stress,stress
im stressed out by studies,stress
i have so much work and so little time,stress
i feel overwhelmed by life,stress
everything is just piling up on me,stress
i feel suffocated by my workload,stress
i cant handle all these expectations,stress
i am completely burned out,stress
i feel so tense and overloaded,stress
i am losing my mind over work,stress
i feel completely stressed,stress
my head is throbbing with stress,stress
i cant find a moment to breathe,stress
i feel like i am under a mountain of pressure,stress
this study load is too high,stress
my parents expect too much and its stressful,stress
im constantly worried about tasks,stress
i feel overwhelmed by my chores and duties,stress
i am in a constant state of pressure,stress
i cant stop stressing over everything,stress
i feel overloaded with college work,stress
im stressed about my upcoming projects,stress
i am feeling heavily burdened,stress
my stress levels are through the roof,stress
i am feeling very tense and pressured,stress
i am struggling to keep up with college assignments,stress
my stress is getting out of hand,stress
i feel mentally crushed by expectations,stress
i feel like crying due to stress,stress
i cant relax my mind,stress
im experiencing intense pressure,stress
i feel overwhelmed by constant demands,stress
this is too stressful for me,stress
i have so many assignments due tomorrow,stress
im struggling under the pressure,stress
i feel so stressed and tired,stress
everything feels like a chore,stress
i feel suffocated by study pressure,stress
im carrying too much weight on my shoulders,stress
my life is so stressful,stress
i feel stressed out of my mind,stress
i cant deal with this pressure anymore,stress
i feel like screaming because of stress,stress
i feel completely overwhelmed and helpless,stress
im constantly running out of time,stress
my schedule is packed and stressful,stress
i feel so much pressure to succeed,stress
im stressed about my grades,stress
this academic pressure is too heavy,stress
i feel like i have no control over my workload,stress
i am stressed to the maximum,stress
i feel so overwhelmed by my classes,stress
im feeling the heat from exams,stress
i feel completely overloaded and stressed,stress
the stress is making me sick,stress
i cant sleep because of stress,stress
i am constantly anxious and stressed,stress
im feeling under pressure,stress
my brain is fried from work,stress
im struggling to balance everything,stress
i feel like im on a treadmill that wont stop,stress
i am totally overwhelmed by pressure,stress
this is just too much stress,stress
i feel so pressured to perform well,stress
i am feeling extremely stressed out,stress
im losing sleep over my work,stress
i feel like im suffocating under stress,stress
my heart is racing from stress,stress
i feel so overwhelmed with homework,stress
i am stressed about my future career,stress
i have way too much studying to do,stress
im completely exhausted from school,stress
i cant handle this academic stress,stress
i feel under pressure all day,stress
the workload is way too heavy,stress
i am constantly stressed about deadlines,stress
i dont know how to handle this pressure,stress
i am stressed and tired,stress
my classes are so stressful,stress
i feel overwhelmed by responsibilities,stress
i feel like something terrible is going to happen,anxiety
my chest is tight and i cant breathe well,anxiety
i am panicking for no reason,anxiety
i feel a constant sense of dread,anxiety
my heart is racing so fast,anxiety
i feel extremely restless and uneasy,anxiety
i cant sit still i feel so nervous,anxiety
i feel on edge all the time,anxiety
im worried about everything,anxiety
i feel a knot in my stomach,anxiety
my mind is constantly filled with worstcase scenarios,anxiety
i feel so anxious and scared,anxiety
im terrified of making mistakes,anxiety
i feel uneasy and unsafe,anxiety
im trembling and shaking from nervousness,anxiety
i cant quiet my thoughts,anxiety
i feel like im going crazy with worry,anxiety
i feel panicked and worried,anxiety
i am constantly tense and jittery,anxiety
im having a panic attack,anxiety
im scared of what might happen next,anxiety
i feel anxious about the future,anxiety
my body feels tense with anxiety,anxiety
im constantly overthinking and panicking,anxiety
i feel a sudden wave of panic,anxiety
im scared of failing my exams,anxiety
i feel uneasy in social situations,anxiety
my hands are sweaty and my heart is beating fast,anxiety
i feel like i am losing control,anxiety
i feel extremely anxious right now,anxiety
i have constant nervous energy,anxiety
i feel worried and tense,anxiety
im afraid of the worst outcome,anxiety
i cant calm my racing heart,anxiety
i feel so nervous i might throw up,anxiety
i feel a deep sense of panic,anxiety
im constantly worried about tomorrow,anxiety
i feel uneasy and restless inside,anxiety
i cant relax my body,anxiety
im filled with nervous tension,anxiety
i feel like im in danger,anxiety
my anxiety is taking over,anxiety
i feel scared for no apparent reason,anxiety
i cant stop worrying about small things,anxiety
im feeling very anxious today,anxiety
my mind wont stop racing,anxiety
i feel on edge and nervous,anxiety
i feel panic rising in me,anxiety
i am constantly anxious about what people think,anxiety
i feel like im walking on eggshells,anxiety
i have this nervous feeling in my gut,anxiety
i feel anxious all the time,anxiety
i am having trouble breathing because of anxiety,anxiety
im constantly filled with fear,anxiety
i feel like im going to collapse from panic,anxiety
i feel restless and tense,anxiety
im worried i wont succeed,anxiety
i feel uneasy about everything,anxiety
i feel a wave of nervousness,anxiety
im terrified of the future,anxiety
my heart rate is high from nervousness,anxiety
i feel anxious and paranoid,anxiety
i feel so tense and worried,anxiety
i am constantly stressed and anxious,anxiety
i feel a deep sense of unease,anxiety
im struggling to control my anxiety,anxiety
i feel a persistent sense of worry,anxiety
i feel scared and anxious,anxiety
i feel panicked about my life,anxiety
im having racing thoughts,anxiety
i feel so anxious and overwhelmed,anxiety
i feel like im on the verge of panic,anxiety
i cant shake this anxious feeling,anxiety
i feel uneasy in my own skin,anxiety
i feel a sense of impending doom,anxiety
i am constantly worried about whats next,anxiety
i feel anxious and exhausted,anxiety
i feel a knot of anxiety in my chest,anxiety
im nervous about everything today,anxiety
i feel so anxious and helpless,anxiety
my hands are shaking from anxiety,anxiety
i have constant anxiety,anxiety
i feel anxious about talking to people,anxiety
i get panic attacks randomly,anxiety
im always nervous and uneasy,anxiety
im scared of the future,anxiety
